Event Name,Log Source,Event Count,Time,Low Level Category,Source IP,Source Port,Destination,Category
Service (daemon) stop,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:32:02 AM",Service Stopped,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:32:03 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:32:04 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:32:05 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:32:06 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:32:07 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:32:08 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:32:09 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:32:10 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:32:11 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:32:12 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Service (daemon) start,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:32:13 AM",Service Started,192.168.142.140,0,192.168.142.140,Normal
Service (daemon) stop,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:32:14 AM",Service Stopped,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:32:15 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:32:16 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:32:17 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:32:18 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:32:19 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:32:20 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:32:21 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:32:22 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:32:23 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:32:24 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Service (daemon) start,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:32:25 AM",Service Started,192.168.142.140,0,192.168.142.140,Normal
Service (daemon) stop,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:32:26 AM",Service Stopped,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:32:27 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:32:28 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:32:29 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:32:30 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:32:31 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:32:32 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:32:33 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:32:34 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:32:35 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:32:36 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Service (daemon) start,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:32:37 AM",Service Started,192.168.142.140,0,192.168.142.140,Normal
Service (daemon) stop,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:32:38 AM",Service Stopped,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:32:39 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:32:40 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:32:41 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:32:42 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:32:43 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:32:44 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:32:45 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:32:46 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:32:47 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:32:48 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Service (daemon) start,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:32:49 AM",Service Started,192.168.142.140,0,192.168.142.140,Normal
Service (daemon) stop,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:32:50 AM",Service Stopped,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:32:51 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:32:52 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:32:53 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:32:54 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:32:55 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:32:56 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
