Event Name,Log Source,Event Count,Time,Low Level Category,Source IP,Source Port,Destination
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:32:07 AM",Distributed DoS,226.197.61.241,9834,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:32:07 AM",Distributed DoS,254.11.210.168,49270,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:33:18 AM",Distributed DoS,183.59.31.41,63424,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:33:04 AM",Distributed DoS,117.243.218.95,40374,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:33:51 AM",Distributed DoS,81.12.91.6,64292,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:33:37 AM",Distributed DoS,2.216.95.212,59173,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:33:04 AM",Distributed DoS,78.82.26.82,9605,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:33:22 AM",Distributed DoS,16.118.251.67,16031,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:33:35 AM",Distributed DoS,192.17.181.95,58681,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:33:27 AM",Distributed DoS,186.28.115.212,9731,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:33:19 AM",Distributed DoS,176.123.179.25,32130,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:33:29 AM",Distributed DoS,164.253.182.182,40908,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:33:37 AM",Distributed DoS,205.23.87.54,48515,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:33:04 AM",Distributed DoS,71.35.246.76,8236,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:33:01 AM",Distributed DoS,105.158.237.241,12381,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:33:45 AM",Distributed DoS,158.52.124.206,42921,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:33:31 AM",Distributed DoS,247.119.185.15,3955,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:33:15 AM",Distributed DoS,12.20.120.22,10780,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:33:47 AM",Distributed DoS,51.174.113.133,28578,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:33:38 AM",Distributed DoS,170.187.4.244,53853,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:33:48 AM",Distributed DoS,16.139.142.208,4493,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:33:16 AM",Distributed DoS,143.226.64.166,27476,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:33:10 AM",Distributed DoS,41.165.165.92,31615,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:33:21 AM",Distributed DoS,133.70.230.70,42101,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:33:28 AM",Distributed DoS,107.182.138.137,58226,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:33:27 AM",Distributed DoS,79.240.19.150,44996,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:33:23 AM",Distributed DoS,244.127.17.217,32742,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:33:27 AM",Distributed DoS,213.127.161.178,59340,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:33:21 AM",Distributed DoS,19.211.226.241,25276,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:33:50 AM",Distributed DoS,209.29.213.5,4407,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:33:43 AM",Distributed DoS,193.95.98.171,60627,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:33:16 AM",Distributed DoS,248.197.234.75,50070,192.168.142.142
